artist,album,track,year,lyrics
wilco,Cruel Country,I Am My Mother,2022,"5 ContributorsI Am My Mother LyricsDangerous dreams have been detected
Streaming over the southern border
As bad as it seems, it's worse than expected
Fleeing through the night corridor

Oh, I’ve done the math with a stick in the sand
I've kicked the can into a dead end
Oh, I can't mend every broken fence
I’m a new man, but I am still my mother

If it was up to me, I would have rejected
The idea that money could keep you poor
And as dark as it seems, it's worse than neglected
When you need the one who loves no more

I've done the math with a stick in the sand
I've kicked the can into a dead end
Oh, I can't mend every broken fence
I'm a new man, but I am still my motherYou might also likeEmbed"
wilco,Cruel Country,Cruel Country,2022,"6 ContributorsCruel Country LyricsI love my country like a little boy
Red, white, and blue

I love my country, stupid and cruel
Red, white, and blue

All you have to do is sing in the choir
Kill yourself every once in a while
And sing in the choir
With me

All you have to do is sing in the choir
Set yourself on fire every once in a while
And sing in the choir
With me
With me

I love my country like a little child
Red, white, and blue

I love my country, stupid and cruel
Red, white, and bluе

All you have to do is sing in the choir
All you have to do is sing in thе choir
All you have to do is sing in the choir
With me
With meYou might also likeEmbed"
wilco,Cruel Country,Hints,2022,"6 ContributorsHints LyricsDo you remember when we would forget?
When we were, I guess, an empty continent?
We stretched our necks to hear below the decks
But our fears were never real enough so we would just project

There is no middle when the other side
Would rather kill than compromise
There is no middle whеn the other side
Would rathеr kill than compromise

Adjust your eyes to the light
Let them roll with pride
Focus your mind on the fight
And keep your hand in mine

In the hills, a holiness already happening
Rivers rounding ridges in our fingerprints
A love too big to see us overpowering
And ever since Heaven sends us sacraments with subtle hints

There is no middle when the other side
Would rather kill than compromise
There is no middle when the other side
Would rather kill than compromise

Adjust your eyes to the light
Let them roll with pride
Focus your mind on the fight
And keep your hand in mine
You might also likeDo you remember when we would forget?
When we were, I guess, an empty continent?
We stretched our necks to hear below the decks
But our fears were never real enough so we would just project

Adjust your eyes to the light
Let them roll with pride
Focus your mind on the fight
And keep your hand in mineEmbed"
wilco,Cruel Country,Ambulance,2022,"4 ContributorsAmbulance LyricsOnce just by chance
I made a friend in an ambulance
I was half man, half broken glass
She had a needle, but I wasn’t afraid

I’d slap the cuffs right on my wrists
I’d get so high I’d arrest myself
For honeysuckle on a buckle
Broken teeth biting on my belt

High in a trance
My life smeared right past
In a blue light, I thought she was dancing
But she was just holding my cold hand

'Cause everything can shine
Even the devil sometimes
While I was busy dying
My Lord, she made some other plan

Traveling salesmen carrying trunks
You can smell thеm coming like skunks
In the distance, if your еyes can focus
That’s how God once spoke to us

Trying not to laugh
They pronounced me dead at half past
And that priest, he pissed his pants
When he heard me start to say hello
You might also likeEverything can shine
Even the devil sometimes
While I was busy dying
My Lord, she made some other planEmbed"
wilco,Cruel Country,The Empty Condor,2022,"5 ContributorsThe Empty Condor LyricsBad behavior
Better than yours
Boiling over
Boiling up

Leading where
Peaches disagree
Rotting beneath the trees

Wait till later
Working it out
Tell me later
What it's about

Waiting there
Peaches disagree
Rotting beneath the leaves

Dead
Relatives

I could never name them all
The Empty Condor
Drifting towards
The shoreYou might also likeEmbed"
wilco,Cruel Country,Tonight's the Day,2022,"6 ContributorsTonight’s the Day LyricsBetween good and bad
And what is true
Between happy
And sad
I choose you

Patty whispered
Across the table
""I think we're being watched""
""You said we were invisible""
""Tell the waiter""
""The sun's in my soup""
""And sooner or later""
""My face will be, too""

It's up to you
Tonight's the day

Between happy
And sad
And true
Between good and bad
There's always you

""Who's running the trains""
""Over the gardens?""
Inside the window panes
The last stand of sugarcane
You might also likeIt's up to me
Tonight's the day

We all bеg for forgiveness
At the еnd
Of the day
Between hard and easy
Surrender and escape
I heard you say
There is no way
It's the only wayEmbed"
wilco,Cruel Country,All Across the World,2022,"6 ContributorsAll Across the World LyricsIn a hurricane's eye
People get by
Living their lives
All across the world

It's combustible
Inarguable
It's dangerous
All across the world

You better move
You better move out of my way
I'm wrapping my
Arms around this day

'Cause I can see
What other people go through
And I wonder if
I bet it would kill me or you

I've seen too much
It's hard to watch
People get lost
All across the world

They're sick and sad
I'm sorry, I'm glad
I'm where I am
All across the world
You might also likeWhat's a song
What's a song gonna do?
When I want to touch
My hand to your shoulder

What good am I?
What good can I do?
When I can barely stand
Knowing what's true

You better move
You better move out of my way
I'm wrapping my
Arms around this day

'Cause I can see
What other people go through
And I wonder if
I bet it would kill me or you

In a hurricane's eye
People die
Just living their lives
All across the worldEmbed"
wilco,Cruel Country,Darkness is Cheap,2022,"5 ContributorsDarkness Is Cheap LyricsLook at this guitar
I could tear it apart
Leave it like a heart
Crying for more

High on a cloud
High on a cloud
High on a cloud
Where you are

A canyon is not deep
Until, falls asleep
Darkness is cheap
Oh, I know

High on a cloud
High on a cloud
High on a cloud
Where you areYou might also likeEmbed"
wilco,Cruel Country,Bird Without a Tail / Base of My Skull,2022,"6 ContributorsBird Without a Tail/ Base of My Skull LyricsThere was a man with a double deed
Who sowed his garden full of seed
When the seed began to grow
Was like a garden full of snow

When the snow began to melt
Was like a ship without a belt
When the ship began to sail
Was like a bird without a tail

When the bird began to fly
Like an eagle in the sky
When the sky began to roar
Was like a lion at my door

When my door began to crack
Was like a stick across my back
When my back began to smart
Was like a penknife in my heart
When my heart began to bleed
Was death and death indeed

When my heart began to bleed
Was death and death indeedYou might also likeEmbed"
wilco,Cruel Country,Tired of Taking It Out On You,2022,"6 ContributorsTired of Taking It Out on You Lyrics[Intro]
I'm tired of taking it out on you
Tired of needing to

[Chorus]
Freeze my warmth away
Tear the tears out of your quiet face
I can't face the way I am with you
Or replace the bite I'm chewing through
Oh, I'm tired of taking it out on you

[Verse]
I crave crazy times again
Our nights, our nights would never end
I'm ashamed of who I am
When I'm in pain
So I strive to the nearest star
Street light over an idling car
Move across the seat
I'm going to need
You to drive these last few miles
'Cause I'm tired of taking it out on you

[Bridge]
Ooh
Ooh
You might also like[Chorus]
Freeze my warmth away
Tear the tears out of your quiet face
I can't take the way I am with you
Or recreate things we used to do
I'm tired of taking it out on you

[Outro]
Ooh
Ooh
Ooh
I'm tired of taking it out on youEmbed"
wilco,Cruel Country,The Universe,2022,"5 ContributorsThe Universe LyricsTalk to me
I don't want to hear poetry
Say it plain
Like how you really speak

The universe
For what it's worth
Everything is listening
For what it means

Spit it out
Every doubt
Poison flower
We can all agree

The universe
For better or worse
It's the only place
To be

I'm serious
I don't really care, I'm serious
I don't really care about a
About a single thing

Everything is listening
For what it means
Everything is listening
For what it means
You might also likeSo talk to me
I don't want to hear poetry
Just say it plain
Like how you really spеak

The universe
Could bе worse
It's the only place
There is to beEmbed"
wilco,Cruel Country,Many Worlds,2022,"5 ContributorsMany Worlds LyricsWhen I look at the sky
I think of all the stars that have died
Many worlds collide
None like yours and mine
No, not like yours and mine
And I always cry
When I look at the sky

No, not like yours and mine
Not like yours and mine
And I always cry

When I look at the sky
I know I’m not the only one
Alive
I know I’m not the only one
Looking up
At the sky

None like yours and mine
No, not like yours and mine
Not like yours and mineYou might also likeEmbed"
wilco,Cruel Country,Hearts Hard to Find,2022,"7 ContributorsHearts Hard to Find LyricsI don't mind
When certain people die
I can't cry
I wonder why
I could lie and say
It makes me sad
There's something wrong with me
Maybe I'm just bad
My heart's hard to find
Sometimes
Oh, I lose it
All the time

Reality
Ruins everything
I like a breeze
Gently shaking a tree
That's a coin that's real
Mine to spend
I like a ghost I can feel
Hold out your hand
My heart's hard to find
Sometimes
Oh, I lose it
All the time
You might also likeThat's a coin that's real
Mine to spend
I like a ghost I can feel
Hold out your hand

My heart's hard to find
Sometimes
Oh, I lose it
My heart's hard to find
Sometimes
Oh, I lose it
My heart's hard to find
Sometimes
Oh, I lose it
All the timeEmbed"
wilco,Cruel Country,Falling Apart (Right Now),2022,"4 ContributorsFalling Apart (Right Now) LyricsNow don’t you fall apart
While I’m falling apart
Why don’t you get in line
Behind the tears I’m crying
I know our hearts
Aren’t very smart
But you’re gonna have to learn
Learn when it isn’t your turn
Somehow

‘Cause I’m gonna be the only one
Falling apart right now

Now don’t you lose your mind
While I’m looking for mine
You’re gonna have to stay strong
A little longer this time
I know our hearts
Aren’t a la carte
But baby being blue
When it comes to me and you
It’s always on the menu
So sit down

Because I’m gonna be the only one
Falling apart right now
You might also likeNow don’t you fall apart
Whеn you’re breaking my heart
Why don’t you gеt in line
Behind the tears I’m crying
I know our hearts
Aren’t very smart
But you’re gonna have to learn
Learn when it isn’t you turn
You're gonna have to keep it together
Somehow
‘Cause I’m gonna be the only one
I’m going to be the only one
I’m going to be the only one
Falling apart right nowEmbed"
wilco,Cruel Country,Please Be Wrong,2022,"5 ContributorsPlease Be Wrong LyricsPlease be wrong
About everything
Gettin' you down
Let it be misunderstood
One word
One word misheard can change
The whole wide world

Please be strong
When I am weak
And weighin' you down
Let me be someone good
You deserve
Someone good
We were on the verge
Of something beautiful

Throwin' my heart in the ring
Watchin' it beat
For no one
No one but you
No one but you
No one
But you

Please be wrong
About me
Bein' the one
Causing all of your pain
I can change
We were on the verge of something
So beautiful
You might also likePlease be wrongEmbed"
wilco,Cruel Country,Story to Tell,2022,"6 ContributorsStory to Tell LyricsI've been through hell
On my way to hell
I only fought with myself
So I’d have a story to tell

Once I cut off my arm
I sewed it back on all wrong
Now I don't have to bend
To reach the bottom shelf
When I need a story to tell

The world is always on the brink
And love is dumber than you think
Singing songs of death and doom
With all the voices inside of you

Once I started a war
But I don't fight anymore
I held the line until the old oak fell
I was left behind
With a story to tell

The world is always on the brink
Hearts are smarter than you think
Writing songs of death and doom
For all the voicеs inside of you
You might also likeOnce I looked you in thе eye
And I told you lies
How I wish I could have treated you well
I wish I had more than a story to tell

The world is always on the brink
Love is dumber than you think
Singing songs of death and doom
With all the voices inside of you

I’ve been through hell
On my way to hell
I only fought with myself
So I'd have a story to tellEmbed"
wilco,Cruel Country,A Lifetime to Find,2022,"6 ContributorsA Lifetime to Find LyricsO Death, O Death
I was just getting dressed
The place is a mess
I was hoping you'd forget
But I can feel you in my chest
I can feel you in my chest

Oh yes, oh yes
Death never rests
I can see you've done your best
The problem is just this
It's too late for regrets
I am here to collect

It takes a lifetime to find
A life like the life you had in mind
It takes a lifetime to find
A life like the life you had in mind
Now you'rе mine

Oh Death, I confess
I should havе known what to expect
But you're so hard to accept
Last time I checked
I was neck and neck
As healthy as the next
You might also likeOh yes, you were blessed
Blessed in the past tense
But it's too late now
To make it make sense
It's too late to pretend
This day won't ever end

It takes a lifetime to find
A life like the life you had in mind
It takes a lifetime to find
A life like the life you had in mind
And now you're mine

So alright, today's the day and tonight is the night
There's no reason, there's no rhyme, just time to go, goodbye
But why can't you try to ease what's on my poor mind?

Oh Jeff, don't obsess
It's the best that I can do
To help you see the light
And help the light to see you
It's true, there was a truth
That was you and only you ever knew

It takes a lifetime to find
The life like the life you had in mind
It takes a lifetime to find
The life like the life you had in mind
It takes a lifetime to find
The life like the life you had in mind
Now you're mineEmbed"
wilco,Cruel Country,Country Song Upside-down,2022,"5 ContributorsCountry Song Upside Down LyricsI found a song
Upside-down
A country song
Like a trout
Dying sky and water
Rainbow
Flickering out

Inside a dark cabin
The more moonlike I become
Rounding all of my edges
'Cause I'm worried
It can't be sung

This is the gist
It goes
Like this

I found a song
Upside-down
A country song
Without a doubt
Dying sky and water
Rainbow
Flickering outYou might also likeEmbed"
wilco,Cruel Country,Mystery Binds,2022,"5 ContributorsMystery Binds LyricsA child devoured on the western wind
As others were I must have been
Others saw a hovering ring
A dream retrieved from a common spring
The very same source taken
My sorrow at once awakened
Awakened
Awakened
Awakened

We walk apart on the sand and stone
Yet all I've loved, I've loved alone
Silver craft, a stormy dawn
The wretched raft of lifе is drawn
For every ounce of wastеd will
More mystery binds me still

Binds me
Binds me
Binds me
Still

From the vault inside the mountain
All the coins from every fountain
And from the sun that 'round us rolled
Cars and streets everything gold
Lightening dashed, tossed and torn
I, at last, took demon form
You might also likeAll I've loved
I've loved alone
All I've loved
I've loved alone
All I've loved
I've loved alone
All I've loved
I've loved aloneEmbed"
wilco,Cruel Country,Sad Kind of Way,2022,"4 ContributorsSad Kind of Way LyricsThe best I can do
Is try to be happy for you
In a sad kind of way
In a sad kind of way

I've been ashamed and afraid
I still feel loved when you say my name
In a sad kind of way
In a sad kind of way
In a sad kind of way

Best I'll ever be
Is the beauty you see in me
In a sad kind of way
In a sad kind of way
In a sad kind of way
In a sad kind of wayYou might also likeEmbed"
wilco,summerteeth (Deluxe Edition),Can't Stand It,2020,"12 ContributorsCan’t Stand It Lyrics[Verse 1]
The way things go
You get so low
Struggle to find your skin
Hey ho
Look out below
Your prayers will never be answered again

[Verse 2]
Phones still ring
And singers sing
Speakers are speaking in code
What now
Well anyhow
Our prayers will never be answered again

[Chorus]
You know it's all beginning
To feel like it's ending
No love's as random
As God's love
I can't stand it
I can't stand it

[Verse 3]
The way things get
You get so high
Funny how we make new friends
Oh hey ho
I gotta go
My prayers will never be answered again
You might also like[Chorus]
You know it's all beginning
To feel like it's ending
No love's as random
As God's love
I can't stand it
I can't stand it

[Bridge]
Speakers speaking
Speakers speaking
Speaking in code

[Chorus]
You know it's all beginning
To feel like pretending
No love's as random
As my love
I can't stand it
I can't stand it

[Outro]
Your prayers will never be answered again
Your prayers will never be answered again
Your prayers will never be answered again
Your prayers will never be answered again3Embed"
wilco,summerteeth (Deluxe Edition),She's a Jar,2020,"21 ContributorsShe’s a Jar LyricsShe's a jar
With a heavy lid
My pop quiz kid
A sleepy kisser
A pretty war
With feelings hid
She begs me not to miss her

She says forever
To light a fuse
We could use
A hand full of wheel
And a day off
On a bruised road
However you might feel
Tonight is real

When I forget how to talk I sing
Won't you please
Bring that flash to shine
And turn my eyes red
Unless they close
When you click
And my face gets sick
Stuck
Like a question unposed
You might also likeJust climb aboard
The tracks of a train's arm
In my fragile family tree
And watch me floating inches above
The people underneath
Please beware the quiet front yard
I warned you
Before there were water skies
I warned you not to drive
Dry your eyes, you poor devil

Are there really ones like these
The ones I dream
Float like leaves
And freeze to spread skeleton wings
I passed through before I knew you

I believe it's just because
Daddy's payday is not enough
Oh, I believe it's all because
Daddy's payday is not enough

Just climb aboard
The tracks of a train's arm
In my fragile family tree
And watch me floating inches above
The people under me
She's a jar
With a heavy lid
My pop quiz kid
A sleepy kisser
A pretty war
With feelings hid
You know she begs me not to hit herEmbed"
wilco,summerteeth (Deluxe Edition),A Shot in the Arm,2020,"20 ContributorsA Shot in the Arm Lyrics[Verse 1]
The ashtray says you were up all night
When you went to bed with your darkest mind
Your pillow wept and covered your eyes
And you finally slept while the sun caught fire
You've changed

[Verse 2]
We fell in love in the key of C
We walked along down by the sea
You followed me down the neck to D
And fell again into the sea
You've changed
Oh, you've changed

[Bridge]
Maybe all I need is a shot in the arm
Maybe all I need is a shot in the arm
Maybe all I need is a shot in the arm
Maybe all I need is a shot in the arm
Maybe all I need is a shot in the arm
Maybe all I need is a shot in the arm
Maybe all I need is a shot in the arm
Something in my veins bloodier than blood
Something in my veins bloodier than blood
Something in my veins bloodier than blood
Something in my veins bloodier than blood
You might also like[Verse 3]
The ashtray says you were up all night
When you went to bed with your darkest mind
You've changed
Oh, you've changed

[Outro]
What you once were isn't what you want to be anymore
What you once were isn't what you want to be anymore
What you once were isn't what you want to be anymore
What you once were isn't what you want to be anymore
What you once were isn't what you want to be any more2Embed"
wilco,summerteeth (Deluxe Edition),We're Just Friends,2020,"9 ContributorsWe’re Just Friends LyricsOver and over and over again
You say that we're just friends
Forget the implications
Infatuations end
If love's so easy, why is it hard
I can't imagine ever being apart

I'll come back to you
It'll be brand new
But I promise
We're just friends

Over and over and over again
I try to make amends
For everything that I've done wrong
My whole world just spins
Make some coffee, hold me up
Try to talk me out of giving up

I'll come back to you
It'll be brand new
But I promise
We're just friendsYou might also likeEmbed"
wilco,summerteeth (Deluxe Edition),I'm Always in Love,2020,"15 ContributorsI’m Always in Love Lyrics[Verse 1]
Why, I wonder, is my heart full of holes
And the feeling goes but my hair keeps growing

[Chorus]
Will I set the sun on a big-wheeled wagon
Oh I'm bragging
I'm always in love

[Verse 2]
When I let go of your throat, sweet throttle
When I clean the lash of your black-belt model

Will I catch the moon, like a bird in a cage
It's for you I swoon
I'm always in love

[Bridge]
I don't get the connection
This is only a test
I hope I do my best
You know I won't forget

[Verse 3]
When I fold the cold in my jet-lag palm
When I soak so long I forget my mother
You might also like[Chorus]
Will I set the sun on a big-wheeled wagon
I'm bragging
I'm always in love

[Outro]
It's a drag I snag
I'm always in love
I'm worried
I'm always in love

I'm worried
I'm worried
I'm worried
I'm always in loveEmbed"
wilco,summerteeth (Deluxe Edition),Nothing'severgonnastandinmyway (Again),2020,"15 ContributorsNothing’severgonnastandinmyway (again) Lyrics[Verse 1]
We’ll find a way regardless
To make some sense out of this mess
Well, it’s a test, but I believe
A kiss is all we need
All the above for being in love
Shouldn’t that alone be enough
Oh, it’s tough when loves a weed
It grows inside of me

[Chorus]
Nothing’s ever gonna stand in my
Nothing’s ever gonna stand in my
Nothing’s ever gonna stand in my way again

[Verse 2]
Waste the days, waste the nights
Try to downplay being uptight
Oh, you’re right, I believe
A kiss is all we need

[Chorus]
Nothing’s ever gonna stand in my
Nothing’s ever gonna stand in my
Nothing’s ever gonna stand in my way again
You might also like[Bridge]
A watch that ticks is wrapped around my wrist
Oh no
I’m a bomb regardless
Oh, I’m a bomb regardless
Oh, I’m a bomb regardless
Oh, I’m a bomb regardless
Oh
We’ll find a way
We’ll find a way
We’ll find a way

[Chorus]
Nothing’s ever gonna stand in our
Nothing’s ever gonna stand in our
Nothing’s ever gonna stand in our way againEmbed"
wilco,summerteeth (Deluxe Edition),Pieholden Suite,2020,"5 ContributorsPieholden Suite Lyrics[Verse 1]
There's a whisper
I would like to breathe into your ear
But I'm too scared
To get that close to you right now

[Verse 2]
There are dreams we might have shared
And I still care
And I still love you
But you know how I've been untrue

[Verse 3]
In the beginning
We closed our eyes
Whenever we kissed
We were surprised
To find so much insideYou might also like2Embed"
wilco,summerteeth (Deluxe Edition),How to Fight Loneliness,2020,"22 ContributorsHow to Fight Loneliness Lyrics[Verse 1]
How to fight loneliness
Smile all the time
Shine your teeth 'til meaningless
Sharpen them with lies
And whatever's going down
Will follow you around
That's how you fight loneliness

[Verse 2]
You laugh at every joke
Drag your blanket blindly
Fill your heart with smoke
And the first thing that you want
Will be the last thing you ever need
That's how you fight it

[Instrumental Break]

[Chorus]
Just smile all the time
Just smile all the time
Just smile all the time
Just smile all the time

[Outro]
Do, do-do
Do, do-do
Do, do-do
Do, do-do
Do, do-do
Do, do-do
Do, do-do
Do, do-do
Do, do-do
Do, do-do
Do, do-do
Do, do-do
Do, do-do
Do, do-do
Do, do-do
Do, do-do
Do, do-doYou might also like6Embed"
wilco,summerteeth (Deluxe Edition),Via Chicago,2020,"11 ContributorsVia Chicago Lyrics[Verse 1]
I dreamed about killing you again last night
And it felt alright to me
Dying on the banks of Embarcadero skies
I sat and watched you bleed
Buried you alive in a fireworks display
Raining down on me
Your cold, hot blood ran away from me
To the sea

[Verse 2]
I printed my name on the back of a leaf
And I watched it float away
The hope I had in a notebook full of white, dry pages
Was all I tried to save
But the wind blew me back via Chicago
In the middle of the night
And all without fight at the crush of veils and starlight

[Bridge]
I know I'll make it back
One of these days and turn on your TV
To watch a man with a face like mine
Being chased down a busy street
When he gets caught, I won't get up
And I won't go to sleep
You might also like[Hook]
I'm coming home, I'm coming home
Via Chicago

[Verse 3]
Where the cups are cracked and hooked
Above the sink, they make me think
Crumbling ladder, tears don't fall
They shine down your shoulders
And crawling is screw faster lash
And I blow it with kisses
I rest my head on a pillowy star
And a cracked door moon
That says I haven't gone too far

[Hook]

[Outro]
Searching for a home
Searching for a home
Searching for a home
Via Chicago
I'm coming home
I'm coming homeEmbed"
wilco,summerteeth (Deluxe Edition),ELT,2020,"8 ContributorsELT Lyrics[Verse 1]
I, I should've been listening
To every word you said
Oh, what have I been missing
Wishing, wishing that you were dead
I didn't mean to be so stupid
So far from home
Oh, what have I been learning
By being all alone

[Chorus]
Every little thing
Every little thing
Every little thing
(Is gonna) Just tears you apart

[Verse 2]
When, when we were younger
Sleep while I'm awake
I was trying to keep the door locked
I realize that's a mistake

[Chorus]

[Verse 3]
Every little thing that you do
Seems so much better than I could do
Oh, I should've been listening
To every word you said
You might also like[Chorus]Embed"
